game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,arm,q_ref_mean,q_best,regret
7881,2,15,AllGrid,3,50,10,46,37,"Hit(CCW,2,MIDDLE)",129,9.16543,A1,-1.01,1.72,2.73
6406,1,10,AllGrid,3,50,10,46,2,"Draw(CW,S0)",16411,727.795,A1,-0.7,-0.385,0.31499999999999995
8452,5,15,AllGrid,3,50,10,46,34,"Hit(CW,0,WEAK)",153,12.8461,A1,1.32,1.935,0.615
1028,6,15,AllGrid,3,50,10,46,0,"Draw(CW,TEE)",151,13.7705,A1,0.77,1.0,0.22999999999999998
2596,1,14,AllGrid,3,50,10,46,35,"Hit(CCW,1,WEAK)",6163,510.734,A1,1.58,1.97,0.3899999999999999
4748,1,3,AllGrid,3,50,10,46,37,"Hit(CCW,0,MIDDLE)",40709,1483.31,A1,0.85,0.985,0.135
9206,3,13,AllGrid,3,50,10,46,1,"Draw(CCW,TEE)",4888,279.02,A1,0.59,1.73,1.1400000000000001
5859,1,6,AllGrid,3,50,10,46,18,"Draw(CW,L4)",31085,1316.91,A1,-0.515,-0.015,0.5
6871,4,5,AllGrid,3,50,10,46,1,"Draw(CCW,TEE)",34602,1419.4,A1,0.795,1.32,0.525
7163,3,13,AllGrid,3,50,10,46,1,"Draw(CCW,TEE)",7851,488.323,A1,1.57,2.465,0.8949999999999998
5807,0,8,AllGrid,3,50,10,46,34,"Hit(CW,3,WEAK)",25317,1167.03,A1,-0.515,0.03,0.545
5567,2,15,AllGrid,3,50,10,46,0,"Draw(CW,TEE)",129,10.407,A1,1.535,1.93,0.395
2507,3,11,AllGrid,3,50,10,46,39,"Hit(CCW,4,WEAK)",16579,943.191,A1,1.66,1.715,0.05500000000000016
7006,3,15,AllGrid,3,50,10,46,0,"Draw(CW,TEE)",145,13.1204,A1,-1.0,-0.97,0.030000000000000027
1984,6,4,AllGrid,3,50,10,46,11,"Draw(CCW,L0)",37985,1483.79,A1,-0.65,-0.31,0.34
1845,7,14,AllGrid,3,50,10,46,44,"PostGuard(CW,10,1)",2665,158.456,A1,1.44,1.44,0.0
5780,2,6,AllGrid,3,50,10,46,32,"Hit(CW,5,TOUCH)",30368,1159.08,A1,-0.65,-0.375,0.275
8645,7,5,AllGrid,3,50,10,46,10,"Draw(CW,L0)",35009,1473.78,A1,0.66,0.92,0.26
6132,0,13,AllGrid,3,50,10,46,2,"Draw(CW,S0)",7585,503.64,A1,1.915,2.62,0.7050000000000001
3339,4,10,AllGrid,3,50,10,46,43,"Hit(CCW,9,TOUCH)",17787,811.518,A1,-0.705,-0.305,0.39999999999999997
3566,6,14,AllGrid,3,50,10,46,0,"Draw(CW,TEE)",5169,451.048,A1,1.0,1.01,0.010000000000000009
5523,3,9,AllGrid,3,50,10,46,11,"Draw(CCW,L0)",22373,1200.61,A1,-0.155,0.74,0.895
7015,5,14,AllGrid,3,50,10,46,11,"Draw(CCW,L0)",6123,502.378,A1,-1.135,-1.135,0.0
743,7,3,AllGrid,3,50,10,46,37,"Hit(CCW,0,MIDDLE)",41276,1581.95,A1,0.45,0.98,0.53
1014,4,15,AllGrid,3,50,10,46,10,"Draw(CW,L0)",61,3.34506,A1,3.325,3.325,0.0
3900,0,10,AllGrid,3,50,10,46,13,"Draw(CCW,L1)",16192,734.505,A1,-0.775,0.305,1.08
4543,6,5,AllGrid,3,50,10,46,37,"Hit(CCW,0,MIDDLE)",34590,1426.83,A1,0.735,1.09,0.3550000000000001
