group,level,target,n,mean,se,median,kruskal_p
n_stones_bin,2-4,dadj_A9R05_A9P5,67,0.018761074626865663,0.01644941603208496,0.0017369999999998,0.8347538854889065
n_stones_bin,5-8,dadj_A9R05_A9P5,64,0.01991473281249999,0.018610667179339086,0.0,0.8347538854889065
n_stones_bin,9-12,dadj_A9R05_A9P5,42,0.03378860238095238,0.02854268875514301,0.0,0.8347538854889065
n_stones_bin,0-1,screen_loss,2,0.2109999999999999,0.02600000000000001,0.2109999999999999,0.023733454017716916
n_stones_bin,13-16,screen_loss,25,0.37132,0.1097396118090455,0.1230000000000001,0.023733454017716916
n_stones_bin,2-4,screen_loss,67,0.17132835820895517,0.013306605754218147,0.173,0.023733454017716916
n_stones_bin,5-8,screen_loss,64,0.24598437499999998,0.026417225209915948,0.2179999999999999,0.023733454017716916
n_stones_bin,9-12,screen_loss,42,0.4134285714285714,0.07867458332517821,0.26349999999999985,0.023733454017716916
n_stones_bin,0-1,rho_gain,2,0.23147289002786636,0.15749869563698604,0.23147289002786636,0.0973990056362056
n_stones_bin,13-16,rho_gain,24,0.09699841697890722,0.03500614044871451,0.0867634205191376,0.0973990056362056
n_stones_bin,2-4,rho_gain,67,0.13088182219661007,0.016482465008994876,0.1191052684983034,0.0973990056362056
n_stones_bin,5-8,rho_gain,64,0.05798421370854811,0.02712631803515127,0.08518011256434715,0.0973990056362056
n_stones_bin,9-12,rho_gain,41,0.006399046333531856,0.06237449591850391,0.0792928257247415,0.0973990056362056
n_stones_bin,0-1,eta2_q,2,0.5461247066465829,0.09106748676626022,0.5461247066465829,0.7622603471362446
n_stones_bin,13-16,eta2_q,25,0.4867213719290217,0.07307875805622174,0.6227440306606409,0.7622603471362446
n_stones_bin,2-4,eta2_q,67,0.4841643010638893,0.02793018921357241,0.4868412831636076,0.7622603471362446
n_stones_bin,5-8,eta2_q,64,0.4883801410482022,0.025290929835108614,0.5269334199979766,0.7622603471362446
n_stones_bin,9-12,eta2_q,42,0.5225250469823907,0.04414899608393315,0.5674877866398277,0.7622603471362446
no1_mine,-1,d_A9P5_A1,2,0.055999999999999994,0.002999999999999999,0.055999999999999994,0.0746338459078488
no1_mine,0,d_A9P5_A1,108,-0.020712962962962968,0.026315697430968538,0.0,0.0746338459078488
no1_mine,1,d_A9P5_A1,90,0.04141111111111111,0.0321443486428644,0.0,0.0746338459078488
no1_mine,-1,d_A9P5_A2,2,-0.0584999999999999,0.0465,-0.0584999999999999,0.8664022614352412
no1_mine,0,d_A9P5_A2,108,-0.11506481481481483,0.05424034572517962,-0.0085000000000001,0.8664022614352412
no1_mine,1,d_A9P5_A2,90,-0.07905555555555557,0.04561515551066827,-0.046499999999999944,0.8664022614352412
no1_mine,-1,d_A2_A1,2,0.1145,0.049499999999999995,0.1145,0.19074021968956315
no1_mine,0,d_A2_A1,108,0.09435185185185187,0.05955714220021733,0.0,0.19074021968956315
no1_mine,1,d_A2_A1,90,0.12046666666666665,0.05215719110793508,0.01600000000000005,0.19074021968956315
no1_mine,-1,d_A9R05_A9P5,2,-0.03499999999999995,0.03499999999999994,-0.03499999999999995,0.43538661931093614
no1_mine,0,d_A9R05_A9P5,108,0.024018518518518512,0.011407270439450492,0.005,0.43538661931093614
no1_mine,1,d_A9R05_A9P5,90,0.026022222222222228,0.017247482421562044,0.0,0.43538661931093614
no1_mine,-1,dadj_A9R05_A9P5,2,-0.03941999999999995,0.03941999999999995,-0.03941999999999995,0.48217086455475033
no1_mine,0,dadj_A9R05_A9P5,108,0.02170796018518517,0.011840477333074603,0.0,0.48217086455475033
